Title,Value,Category,Description,
"A small step for you, but a huge leap for us all",3,1,"Walk to or from work by foot.",
"It has improved since you've last tried it",2,1,"Commute to work using public transport.",
"Two wheels, one planet",3,1,"Bike to or from work today."
"Carpool karaoke",2,1,"Share a ride with at least one coworker."
"The scenic route",1,1,"Walk part of your commute instead of driving or taking the bus the whole way."
"Ticket to ride",2,1,"Use public transport for both legs of your commute."
"Detour delight",1,1,"Get off one stop early and walk the rest of the way."
"Eco-explorer",3,1,"Try a completely new, lower-emission commute method for a day."
"Weekend warrior",2,1,"Plan your errands so you use your car less this weekend."
"Charge it up",2,1,"Use an electric scooter or e-bike for your commute."
"Pack light, travel right",1,1,"Reduce what you carry to make walking or cycling easier."
"Buddy commute",2,1,"Coordinate your travel with a coworker to reduce emissions."
"Pay it forward",1,1,"Give a compliment to a coworker.",
"The more the marrier",1,2,"Invite a colleague to lunch you don’t usually talk to.",
"Kind words",1,2,"Thank someone who helped you this week.",
"Shared lunch vibes",1,2,"Eat lunch with someone you don’t usually talk to."
"Plant buddy",1,2,"Water or care for an office plant today."
"Idea spark",2,2,"Share one sustainability tip or idea with your team."
"Kind words club",1,2,"Send a thank-you or appreciation message to a coworker."
"Green talk",1,2,"Start a short conversation about eco-friendly habits with a colleague."
"Collab cleanup",2,2,"Organize or join a quick office tidy-up with coworkers."
"Knowledge drop",2,2,"Share a sustainability-related article or video with your team."
"Snack share",1,2,"Bring in or share a healthy, low-waste snack with coworkers."
"Micro mentor",2,2,"Teach a coworker a small time- or energy-saving trick."
"Community spark",3,2,"Propose or start a small sustainability initiative at work."
"Less to carry",1,3,"Have lunch without creating any waste.",
"Childs play",1,3,"Separate all your waste.",
"Refill & chill",1,3,"Use a reusable water bottle or coffee cup today.",
"Lovely lunchbox",2,3,"Bring your own container for takeout or leftovers.",
"Paperless pro",2,3,"Go a full day without printing anything.",
"Compost hero",2,3,"Separate and compost your organic waste."
"Staple-free day",1,3,"Avoid using staples—try paper clips or digital documents instead."
"Trash detective",1,3,"Check if an item can be recycled before throwing it away."
"Napkin ninja",1,3,"Use a reusable cloth napkin or towel instead of paper ones."
"Digital receipts only",1,3,"Request or save your receipt digitally instead of printing it."
"Refuse the refuse",2,3,"Say no to single-use items like straws, cups, or plastic cutlery today."
"Reuse revolution",3,3,"Find a creative way to repurpose or reuse something instead of discarding it."
"IT'S LEG DAY",1,4,"Set a timer to stand up from your desk every 45 minutes.",
"A stroll through town",2,4,"Take the time to go for a short walk during the day.",
"Stretch it out",1,4,"Do a 5-minute stretching session during work hours.",
"Hydration nation",1,4,"Drink at least 5 glasses of water throughout the day.",
"Mindful minute",1,4,"Take 60 seconds to focus on your breathing or meditate.",
"Green gaze",1,4,"Rest your eyes by looking at something green (like a plant) every hour.",
"Posture pro",1,4,"Adjust your chair and monitor for better ergonomics."
"Step counter champion",2,4,"Reach 6,000 steps or more during your workday."
"Lunch al fresco",2,4,"Eat lunch outdoors or near a window with natural light."
"Plant power",2,4,"Eat a fully vegetarian meal today."
"Desk detox",2,4,"Clear and organize your workspace for a mental reset."
"Early riser",3,4,"Start your day with a walk, stretch, or light exercise before work."
"It's good practice",2,5,"Put your pc in suspend every time you get up from your desk.",
"Lights out",1,5,"Turn off the lights when leaving a meeting room or office.",
"Silent break",2,5,"Unplug your chargers or devices when not in use.",
"Power nap for your screen",2,5,"Lower your monitor brightness to 50% or enable energy-saving mode.",
"The cold never bothered me anyway",2,5,"Turn down the thermostat by 1°C or dress warmer instead of heating more.",
"Lights out",1,5,"Turn off the lights whenever you leave a room."
"Power nap for your screen",2,5,"Enable energy-saving or dark mode on your computer or monitor."
"Silent break",2,5,"Unplug chargers and devices that aren't in use."
"Chill vibes only",2,5,"Turn the thermostat down 1°C and dress warmer instead."
"Sunshine state",1,5,"Use natural daylight instead of artificial lighting for at least one hour."
"Unplugged hero",2,5,"Completely shut down your PC at the end of the day."
"Sleep mode engaged",1,5,"Set your monitor and computer to auto-sleep after 5 minutes of inactivity."
"Dim the glow",1,5,"Lower your monitor brightness to 50% or less."
"Team shutdown",3,5,"Encourage your whole team to turn everything off before leaving the office."
"Cool operator",1,5,"Avoid using personal heaters or fans for the entire day."